timestamp,omega_eng(t),omega_load(t),delta_w(t)
0.83,-4.632363226716806,-5.018995283214306,0.38663205649749965
0.835,-6.326550608930567,-6.737530734198207,0.4109801252676393
0.84,-7.982204942555603,-8.417226519052313,0.4350215764967107
0.845,-9.597609860454346,-10.056606080252793,0.45899621979844696
0.85,-11.17120037685006,-11.654203894779776,0.48300351792971696
0.855,-12.701578705066058,-13.208563509704458,0.5069848046383996
0.86,-14.187484117139,-14.718247004234948,0.530762887095948
0.865,-15.627735623131477,-16.181851135378892,0.5541155122474155
0.87,-17.021172318561987,-17.598023935158682,0.576851616596695
0.875,-18.366612697970638,-18.965476445488434,0.5988637475177967
0.88,-19.662844018282577,-20.282986848878444,0.6201428305958672
0.885,-20.908640523798702,-21.5493973303136,0.6407568065148972
0.89,-22.10279967717354,-22.763606412129672,0.6608067349561324
0.895,-23.244181305378948,-23.92456054577673,0.6803792403977802
0.9,-24.33173616717208,-25.031248327612456,0.6995121604403742
0.905,-25.3645164442702,-26.08269919301404,0.718182748743839
0.91,-26.341668067335206,-27.077986586174273,0.7363185188390666
0.915,-27.262410960683763,-28.016234064435753,0.7538231037519907
0.92,-28.126016274909446,-28.896622059157693,0.7706057842482466
0.925,-28.93178910314999,-29.71839317017901,0.7866040670290211
0.93,-29.679061716624332,-30.48085474470807,0.8017930280837362
0.935,-30.36719807342515,-31.18337856554303,0.8161804921178799
0.94,-30.99560619540456,-31.82539851079847,0.8297923153939095
0.945,-31.56375317946229,-32.40640750020948,0.8426543207471937
0.95,-32.07117741786445,-32.92595508319911,0.8547776653346659
0.955,-32.517494698091795,-33.38364649449666,0.8661517964048642
0.96,-32.90239722239933,-33.77914340840887,0.8767461860095409
0.965,-33.225625778222096,-34.11217131688069,0.886545538658595
0.97,-33.48693623547256,-34.38252819677632,0.895591961303758
0.975,-33.68616908913745,-34.590067371783256,0.9038982826458053
0.98,-33.82326383619012,-34.734694149282156,0.9114303130920334
0.985,-33.898247830997356,-34.8163687588943,0.9181209278969433
0.99,-33.9112177096784,-34.835111053512776,0.9238933438343793
0.995,-33.862321080458884,-34.79100504396223,0.9286839635033459
1.0,-33.75174449047424,-34.684201769427695,0.9324572789534571
1.005,-33.57971042352909,-34.51491982530965,0.9352094017805541
1.01,-33.34648271116873,-34.283443714153805,0.9369610029850719
1.015,-33.052376945942385,-33.99012088171273,0.9377439357703423
1.02,-32.697771540111404,-33.635358531138614,0.9375869910272101
1.025,-32.283115647448014,-33.21962115884332,0.9365055113953034
1.03,-31.80893173322879,-32.7434293623894,0.9344976291606102
1.035,-31.275812781793466,-32.207359915170045,0.9315471333765792
1.04,-30.68441582776803,-31.61204668221036,0.9276308544423273
1.045,-30.035454276179628,-30.958181757534387,0.9227274813547588
1.05,-29.329691584239843,-30.246516182853682,0.9168245986138395
1.055,-28.567937785695094,-29.477859878268454,0.9099220925733604
1.06,-27.751049255936138,-28.653080693247457,0.9020314373113187
1.065,-26.879930991381435,-27.773102762574194,0.8931717711927583
1.07,-25.955539888048282,-26.83890454920232,0.8833646611540367
1.075,-24.978887584610636,-25.85151693489302,0.8726293502823843
1.08,-23.951041660222675,-24.812021660964724,0.8609800007420496
1.085,-22.873124815999834,-23.721550210334428,0.8484253943345941
1.09,-21.746312285890674,-22.581283068521714,0.8349707826310393
1.095,-20.571828265233545,-21.3924491675729,0.8206209023393534
1.1,-19.350942307278068,-20.15632527337072,0.805382966092651
1.105,-18.08496639387806,-18.874235144160593,0.7892687502825346
1.11,-16.7752531589965,-17.547548342125406,0.7722951831289073
1.115,-15.423195188038035,-16.17767872200363,0.7544835339655958
1.12,-14.030224993498491,-14.76608269675485,0.7358577032563591
1.125,-12.597815135752192,-13.314257418780146,0.7164422830279538
1.13,-11.127477988823566,-11.823739001140407,0.6962610123168407
1.135,-9.620764787472238,-10.296100869789127,0.675336082316889
1.14,-8.079263947212013,-8.732952252060485,0.6536883048484725
1.145,-6.50459880211229,-7.13593676692769,0.6313379648154003
1.15,-4.898425098935947,-5.506731031387734,0.6083059324517865
