timestamp,omega_eng(t),omega_load(t),delta_w(t)
0.13,15.22893486106849,14.93215629887158,0.29677856219690923
0.131,15.308205344777514,15.046116195286764,0.26208914949075
0.132,15.389115734366012,15.160432889940507,0.22868284442550468
0.133,15.47206014164352,15.275016549392877,0.19704359225064394
0.134,15.557368827416242,15.38978631899271,0.16758250842353206
0.135,15.645304396279391,15.504670999624883,0.1406333966545077
0.136,15.736059248728822,15.619609466438712,0.11644978229010938
0.137,15.829754304314788,15.73455083187329,0.09520347244149718
0.138,15.926438989260339,15.849454360041204,0.07698462921913496
0.139,16.026092464847178,15.964289143384882,0.06180332146229617
0.14,16.128626054032136,16.079033556711952,0.04959249732018378
0.141,16.233886806785343,16.19367450734444,0.040212299440902655
0.142,16.34166212935382,16.30820650322912,0.03345562612470232
0.143,16.45168538672343,16.422630564038027,0.029054822685402826
0.144,16.563642375303992,16.536953002459054,0.02668937284493822
0.145,16.6771785504573,16.651184105002976,0.025994445454323056
0.146,16.791906883417443,16.76533674311753,0.026570140299913447
0.147,16.907416214452027,16.87942494620318,0.027991268248847234
0.148,17.02327996207344,16.99346246870266,0.029817493370778436
0.149,17.139065044366752,17.10746138314409,0.03160366122266112
0.15,17.2543408659704,17.221430730386132,0.0329101355842667
0.151,17.368688223989363,17.33537525709642,0.03331296689294305
0.152,17.481707987903356,17.44929426876588,0.032413719137476704
0.153,17.593029412460062,17.563180624309787,0.02984878815027514
0.154,17.702317948235372,17.677019895654436,0.025298052580936314
0.155,17.80928242120947,17.790789712865628,0.018492708343842423
0.156,17.913681463699096,17.904459311528935,0.009222152170160314
0.157,18.015329096172014,18.017989293801964,-0.0026601976299502894
0.158,18.114100267307432,18.13133138679953,-0.017231119492098657
0.159,18.209935759890197,18.244428331423183,-0.03449257153298646
0.16,18.302843169923182,18.357214708475663,-0.05437153855248056
0.161,18.39289791680399,18.469617696203645,-0.07671977939965657
0.162,18.480243228161765,18.581558007187667,-0.10131477902590191
0.163,18.56508892955104,18.6929510307393,-0.1278621011882599
0.164,18.647709002545373,18.803708173920818,-0.15599917137544494
0.165,18.728437938836404,18.913738378872463,-0.18530044003605894
0.166,18.807665931287403,19.022949791645786,-0.2152838603583831
0.167,18.885832960929704,19.131251554359935,-0.2454185934302302
0.168,18.96342185582242,19.238555689680094,-0.275133833857673
0.169,19.040950416659143,19.34477904356419,-0.3038286269050481
0.17,19.118962718000624,19.44984525069627,-0.3308825326956466
0.171,19.198019710623054,19.55368668510075,-0.35566697447769613
0.172,19.27868926268047,19.656246357856922,-0.37755709517645286
0.173,19.361535789221705,19.757479723577774,-0.3959439343560689
0.174,19.447109630123062,19.85735635758054,-0.41024672745747637
0.175,19.535936343078948,19.955861467097403,-0.41992512401845516
0.176,19.628506085349507,20.052997201290744,-0.4244911159412368
0.177,19.72526326026192,20.14878372752561,-0.4235204672636925
0.178,19.826596606120187,20.2432600442285,-0.4166634381083121
0.179,19.932829903792676,20.336484504266807,-0.4036546004741304
0.18,20.044213475315566,20.428535026946097,-0.3843215516305314
0.181,20.160916639156724,20.519508981421602,-0.3585923422648776
0.182,20.28302127954291,20.609522729199337,-0.32650144965642625
0.183,20.410516677067527,20.698710818481207,-0.2881941414136797
0.184,20.543295730166793,20.78722482972341,-0.2439290995566168
0.185,20.681152684478906,20.875231876693668,-0.19407919221476178
0.186,20.82378246809739,20.962912773387927,-0.13913030529053572
0.187,20.970781707360686,21.050459883798506,-0.07967817643782027
0.188,21.121651475533014,21.138074677301372,-0.016423201768358098
0.189,21.275802605954,21.22596481724957,0.0498377887044299
0.19,21.432567304401253,21.314339884193974,0.11822742020727972
0.191,21.59120439434063,21.40340893269789,0.18779546164273953
0.192,21.750905643204728,21.493378048082825,0.2575275951219034
0.193,21.91080681527139,21.584447019450913,0.32635979582047625
0.194,22.07000024787718,21.67680595310619,0.3931942947709892
0.195,22.22754874821865,21.770631895536443,0.4569168526822054
0.196,22.382500624398872,21.866085525828254,0.5164150985706186
0.197,22.53390563618463,21.963307978675292,0.5705976575093388
0.198,22.68083162543603,22.0624178592581,0.6184137661779303
0.199,22.822381563332467,22.163508510320423,0.6588730530120444
0.2,22.95771073221412,22.266645589625288,0.6910651425888332
0.201,23.086043744036115,22.371865012785968,0.7141787312501471
0.202,23.20669108630576,22.479171312050706,0.7275197742550539
0.203,23.3190648792925,22.588536456295145,0.7305284229973559
0.204,23.422693526970303,22.699899170957966,0.7227943560123364
0.205,23.517234947406518,22.81316478940133,0.7040701580051874
0.206,23.602488077293756,22.92820565906668,0.6742824182270759
0.207,23.67840236066991,23.044862116818802,0.6335402438511082
0.208,23.745084951903845,23.162944038625774,0.5821409132780708
0.209,23.80280538977778,23.282232958830107,0.5205724309476736
0.21,23.851997532673913,23.402484743952407,0.44951278872150624
0.211,23.89325858150774,23.52343279609766,0.3698257854100824
0.212,23.92734506312464,23.64479175019975,0.2825533129248896
0.213,23.95516569348504,23.76626161986403,0.18890407362101058
0.214,23.9777710958368,23.887532336301486,0.09023875953531402
0.215,23.996340415626765,24.00828861346387,-0.011948197837103436
0.216,24.012171164177325,24.128213507153763,-0.11604234297643856
0.217,24.026671092459335,24.246990928935244,-0.22031983647590891
0.218,24.041320780439424,24.364314907812776,-0.3229941273733523
0.219,24.057645002390313,24.47989606186371,-0.42225105947339614
0.22,24.077185367073564,24.593467148606027,-0.516281781532463
0.221,24.101471535195753,24.704788372744733,-0.6033168375489808
0.222,24.13199152538069,24.81365234106322,-0.6816608156825303
0.223,24.17016166217901,24.91988855751449,-0.7497268953354812
0.224,24.21729675407872,25.023367356854973,-0.8060706027762521
0.225,24.27458111282908,25.12400318293859,-0.8494220701095117
0.226,24.343041037355196,25.221757127772136,-0.8787160904169404
0.227,24.423519384804045,25.316638659606273,-0.8931192748022276
0.228,24.516652837968593,25.408706482300158,-0.8920536443315648
0.229,24.622852451456204,25.49806848387405,-0.8752160324178462
0.23,24.742288018878416,25.584880749122803,-0.8425927302443874
0.231,24.874876750409076,25.669345629019606,-0.7944688786105303
0.232,25.020276683123075,25.751708878427234,-0.7314321953041585
0.233,25.17788516899256,25.83225589228679,-0.6543707232942282
0.234,25.346842693883488,25.911307089677713,-0.564464395794225
0.235,25.526042181862714,25.989212513219094,-0.4631703313563804
0.236,25.714143827610098,26.066345729454746,-0.35220190184464784
0.237,25.90959538430408,26.143097132050958,-0.23350174774687815
0.238,26.11065770977633,26.219866765304854,-0.10920905552852389
0.239,26.315435256154412,26.297056796811002,0.01837845934340976
0.24,26.52191465747985,26.37506288078683,0.14685177669301908
0.241,26.728009593353548,26.454264876704766,0.27374471664878186
0.242,26.931594654073606,26.535021223901534,0.39657343017207225
0.243,27.13054824411131,26.617661922127287,0.5128863219840234
0.244,27.32279845181039,26.702481572847287,0.6203168789631022
0.245,27.506369364080378,26.78973302322158,0.7166363408587983
0.246,27.679426748274548,26.879621770932353,0.7998049773421947
0.247,27.840321998663704,26.972301273275992,0.8680207253877121
0.248,27.98763324233699,27.067869286200388,0.9197639561366024
0.249,28.120202523538474,27.166365337777982,0.9538371857604915
0.25,28.237168037805873,27.267769416218258,0.9693986215876151
0.251,28.337990466715322,27.37200192576128,0.9659885409540436
0.252,28.42247257021055,27.47892493519507,0.9435476350154808
0.253,28.490771325066863,27.58834471396665,0.9024266111002142
0.254,28.543402052911354,27.700015520650638,0.8433865322607161
0.255,28.581234156700148,27.813644578614763,0.767589578085385
0.256,28.60547827767719,27.928898144731665,0.6765801329455243
0.257,28.617664891577995,28.04540854964861,0.5722563419293856
0.258,28.619614579481404,28.162782062945393,0.45683251653601076
0.259,28.613400429300352,28.280607414341542,0.33279301495880986
0.26,28.601303244690413,28.398464783138888,0.20283846155152574
0.261,28.58576045166368,28.51593505323028,0.06982539843340163
0.262,28.569310351520887,28.632608981228834,-0.06329862970794764
0.263,28.55454601725009,28.748092804448298,-0.1935467871982084
0.264,28.54405212985256,28.86201710459455,-0.31796497474199015
0.265,28.54032444506978,28.974049172508312,-0.4337247274385341
0.266,28.545704610715813,29.083900902720853,-0.5381962920050398
0.267,28.56231847974521,29.19133541826243,-0.6290169385172213
0.268,28.592018923732024,29.296172431342075,-0.7041535076100516
0.269,28.636334836191498,29.39829218887099,-0.7619573526794916
0.27,28.696427895454082,29.49763788833746,-0.8012099928833791
0.271,28.773058486483894,29.594216490129426,-0.8211580036455324
0.272,28.866561963953924,29.688097895682,-0.821535931728075
0.273,28.976836178518102,29.779412505818293,-0.8025763273001907
0.274,29.10334089284295,29.86834721846193,-0.7650063256189803
0.275,29.245109387931294,29.9551399689338,-0.7100305810025063
0.276,29.400772215054925,30.04007295725066,-0.6393007421957364
0.277,29.568592690347426,30.123464744809947,-0.5548720544625212
0.278,29.74651337064955,30.20566143575906,-0.4591480651095097
0.279,29.93221239866171,30.287027185877044,-0.3548147872153322
0.28,30.12316827536867,30.367934302667372,-0.24476602729870223
0.281,30.31673131805644,30.44875321416602,-0.13202189610958115
0.282,30.510199803880127,30.529842590120058,-0.019642786239931098
0.283,30.70089987105695,30.611539577678098,0.08936029337885287
0.284,30.886271446329136,30.694149269061572,0.19212217726756364
0.285,31.063939087298458,30.777938324404673,0.28600076289378507
0.286,31.23177965447211,30.8631293882288,0.36865026624331065
0.287,31.387986580501252,30.949895963979202,0.43809061652205017
0.288,31.53112481379861,31.038358831707125,0.49276598209148403
0.289,31.660174461738972,31.128584120033583,0.5315903417053889
0.29,31.774561497888964,31.2205830864951,0.5539784113938637
0.291,31.874174289980804,31.31431360421982,0.5598606857609845
0.292,31.959365151876963,31.409683296464678,0.5496818554122846
0.293,32.030936611207984,31.506554205552476,0.5243824056555084
0.294,32.09011259879205,31.604748831243164,0.48536376754888266
0.295,32.13849528946693,31.7040573273555,0.4344379621114314
0.296,32.178008839718196,31.804245605910175,0.37376323380802035
0.297,32.21083175567186,31.90506406695455,0.3057676887173102
0.298,32.239320069366364,32.00625665019893,0.23306341916743634
0.299,32.265923882231064,32.107569892994924,0.15835398923614008
0.3,32.29310013792821,32.20876167808717,0.08433845984103527
0.301,32.32322469630879,32.30960936460623,0.01361533170256024
0.302,32.35850791251368,32.40991675981887,-0.05140884730518991
