timestamp,tire_F(t),suspension_travel(t),seat_a(t)
1.21,-4353.958108728644,0.8192259088277123,-0.13394333026747252
1.22,-4367.980464631984,0.8192388785374118,-0.1276553190733902
1.23,-4372.682119901293,0.8192427010618824,-0.11824528659390694
1.24,-4400.482875642438,0.819236222819075,-0.10397252791832254
1.25,-4414.869546216338,0.8192063397147309,-0.08296526159235024
1.26,-4411.761344117574,0.8191680262439689,-0.060940107912752714
1.27,-4467.9536242975355,0.8191201866674422,-0.0337788374044995
1.28,-4481.288019849674,0.819027744752997,0.006839225344875407
1.29,-4439.099836438132,0.8189376281735056,0.04783737432177304
1.3,-4430.7307228336385,0.8188749025950992,0.08245121941173844
1.31,-4383.989768584272,0.8188336913191513,0.10694722186424883
1.32,-4377.852672395833,0.8188255722787796,0.11901597556725581
1.33,-4305.888207628655,0.8188370394835913,0.12042102729376249
1.34,-4218.3458367477515,0.8189196327461565,0.09445575585763208
1.35,-4218.940011549524,0.8190660611481928,0.058117627661935484
1.36,-4294.817899387054,0.8191983789913712,0.026570139509607314
1.37,-4315.40771109228,0.8192700917019645,0.004290630386194986
1.38,-4338.041795143779,0.8193211912437759,-0.015309527056878854
1.39,-4379.7894484436865,0.819340386165147,-0.025323444967060973
1.4,-4364.592178639405,0.8193360896794185,-0.029411399884118814
1.41,-4382.004672651085,0.8193340255639838,-0.03252405021742296
1.42,-4386.422228554442,0.8193216443513086,-0.03158195247998113
1.43,-4417.686690068537,0.8192975888832688,-0.02569586246441039
1.44,-4385.445933645397,0.8192576988161383,-0.01508908400471872
1.45,-4360.276152644402,0.8192473966520373,-0.01214317834043565
1.46,-4389.8041048991645,0.8192481976278947,-0.010220685602126878
1.47,-4406.340284115763,0.819227340575023,-0.0019541697617626143
1.48,-4405.836847776841,0.8191937553898541,0.009848904901838295
1.49,-4381.985511736586,0.8191638130351127,0.02063911848450175
1.5,-4331.729578313388,0.8191619877665788,0.022864978179103445
1.51,-4320.302033353641,0.8191990270565465,0.014458454372032747
1.52,-4326.268463471106,0.8192444064356361,0.0036260547738682664
1.53,-4347.233985890304,0.8192821920112041,-0.00589214789568094
1.54,-4343.025388361199,0.8193035869296929,-0.011689373629839869
1.55,-4358.815991218936,0.819327195869649,-0.018524247931331197
1.56,-4396.823703276366,0.8193258241316472,-0.017220951139601464
1.57,-4350.897788713606,0.8193114075043794,-0.01377887092869893
1.58,-4383.26395758366,0.8193193513225747,-0.015116226613232205
1.59,-4403.3366206481505,0.819301330859036,-0.008276609630020934
1.6,-4398.203314794731,0.8192707686627495,0.0016242909017610903
1.61,-4387.083511162054,0.8192445205591072,0.010774331674573054
1.62,-4390.9558424696015,0.8192265463933917,0.018075873844054513
1.63,-4393.375578304185,0.819206109554971,0.026289738102379563
1.64,-4433.21315852629,0.819177939208117,0.03718080055153147
1.65,-4449.11054104294,0.8191151330806604,0.05869254851454571
1.66,-4419.7625916654615,0.8190510497049914,0.07851500715082314
1.67,-4430.917638716906,0.8190009045435616,0.09540948237106667
1.68,-4385.357904229897,0.8189567434515924,0.10765222475709682
1.69,-4374.822314930776,0.8189470134593648,0.1081739701964068
1.7,-4356.459352945072,0.818948451731701,0.10610702268356059
1.71,-4295.431257948874,0.8189770581572041,0.09196053124089948
1.72,-4254.872635235373,0.819057270288952,0.0642591401835792
1.73,-4254.331834117876,0.819167283666896,0.030868169149067627
1.74,-4254.022345872204,0.8192782229495734,-0.006281131882877844
1.75,-4248.391044021978,0.8193888246674293,-0.0473963670106798
1.76,-4283.990892120689,0.8194973292045671,-0.0900692085145863
1.77,-4407.472492859925,0.8195520762260278,-0.10962575308503233
1.78,-4440.3507184741775,0.8195092535645377,-0.09801961949021916
1.79,-4411.885188603325,0.8194463698729658,-0.08609140494722282
1.8,-4387.45610872494,0.8194038882012631,-0.07673021422652937
1.81,-4376.604080355272,0.8193862136907947,-0.07144381460098922
1.82,-4386.830296207085,0.8193716313601171,-0.06341259048512976
1.83,-4360.49209592216,0.8193606273050684,-0.05670274747088797
1.84,-4389.508156202566,0.8193586450859339,-0.05005886355760557
1.85,-4361.454728835019,0.8193439231751997,-0.04015101092689785
1.86,-4347.5811557873185,0.8193517674968606,-0.03656948085272613
1.87,-4341.428640486883,0.8193693277152231,-0.03488999704548898
1.88,-4317.163626411503,0.8193978310522191,-0.037150616628038806
1.89,-4304.175265258608,0.8194460650813737,-0.04542307165536007
1.9,-4346.049308036195,0.8194958207439738,-0.053527778748455525
1.91,-4367.690786697221,0.8195095786872272,-0.051503448549383775
1.92,-4382.146147361246,0.8195071867041894,-0.04621891903692017
1.93,-4420.058324196518,0.8194802316309088,-0.03283116810434876
1.94,-4356.025027908455,0.8194415282497125,-0.01794112596402518
1.95,-4322.707713333249,0.8194540503643003,-0.01696442097460249
1.96,-4349.417414722472,0.8194861470633215,-0.02016017194504419
1.97,-4387.926915910148,0.8194944336449402,-0.017019593447840483
1.98,-4429.415514498678,0.8194656556710398,-0.0039693354614541935
1.99,-4423.531172344917,0.8194059120531914,0.017177030354052172
2.0,-4398.68975256968,0.8193571516363933,0.03474317205158854
2.01,-4426.064905616563,0.8193183345834274,0.05086633209289175
2.02,-4413.4928945567335,0.8192662271253017,0.07008196471778091
2.03,-4412.026480259491,0.8192226368738429,0.08556721330965048
2.04,-4383.8649152265025,0.8191862471088832,0.09727115465691441
2.05,-4376.834904631443,0.8191735524236349,0.10003627179046362
2.06,-4358.908468248785,0.8191678674486296,0.10060090660985375
2.07,-4349.719129728242,0.8191825253732441,0.0924103118631327
2.08,-4397.8701338130595,0.8191893736839515,0.08979749264649968
2.09,-4379.025920388737,0.8191700400612055,0.09057818897586004
2.1,-4371.833220880216,0.8191615367962539,0.0864332520760513
